VendorID,VendorName,VendorCity,VendorCountry
V101,Office Supplies Inc.,New York,USA
V102,Tech Gadgets Co.,San Francisco,USA
V103,Clothing Essentials,London,GBR
V104,The Furniture Hub,Berlin,DEU
V105,Global Foodstuffs,Tokyo,JPN
V106,Medical Supply Pro,Paris,FRA
V107,Auto Parts Depot,Sydney,AUS
V108,Chemical Solutions,Toronto,CAN
V109,Textile Millworks,Mumbai,IND
V110,Gaming Gear Ltd.,Seoul,KOR
V111,E-Learning Tools,Rome,ITA
V112,Construction Corp,Mexico City,MEX
V113,Digital Media Inc.,Dubai,ARE
V114,Aviation Spares,Rio de Janeiro,BRA
V115,Art & Crafts Co.,Amsterdam,NLD
V116,Industrial Pumps,Shanghai,CHN
V117,Beverage Distributors,Lagos,NGA
V118,Eco-Friendly Goods,Oslo,NOR
V119,Jewelry Makers,Zurich,CHE
V120,Farming Equipment,Buenos Aires,ARG
V121,Pet Food Supplies,Dublin,IRL
V122,Security Systems,Vienna,AUT
V123,Beauty Products Ltd,Bangkok,THA
V124,Sports Gear Central,Helsinki,FIN
V125,Heating & Cooling,Warsaw,POL
